LeftPosition,RightPosition,LeftVelocity,RightVelocity,LeftAcceleration,RightAcceleration,Heading
-78.32580116754986,-58.95927886433794,-99.89537315005595,-97.71002646983246,-158.72783458005682,-241.27216541994318,309.5914956704526
-79.32472192101899,-59.94498989053518,-99.89207534691295,-98.57110261972417,43.69248972067831,-43.69248972067831,309.5458019424967
-80.32365596669318,-60.939445802414795,-99.89340456741864,-99.44559118796089,43.99241551606663,-43.99241551606663,309.5227385754158
-81.3183524015609,-61.93847530362994,-99.46964348677255,-99.90295012151444,243.57186215269658,156.42813784730342,309.52254846090705
-82.30437305925776,-62.93756402645568,-98.60206576968551,-99.90887228257384,242.3948027177672,157.6051972822328,309.5452349624838
-83.281873144046,-63.936780740660794,-97.75000847882427,-99.9216714205109,241.31246292891683,158.68753707108317,309.5905555895653
-84.25099001513901,-64.93619582948568,-96.91168710930079,-99.94150888248875,240.31928075326857,159.68071924673148,309.6583017631801
-85.21184411718356,-65.93588118489252,-96.08541020445483,-99.96853554068386,239.40995078771198,160.59004921228814,309.74830937063655
-86.16422055760441,-66.93557489112295,-95.23764404208508,-99.9693706230435,43.39817979400406,-43.39817979400407,309.86045541211195
-87.10802865480174,-67.93515500630997,-94.38080971973397,-99.95801151870211,43.486839680536654,-43.48683968053667,309.99465700768656
-88.04326116953492,-68.93460010563223,-93.52325147331659,-99.94450993222624,43.64221637497198,-43.642216374971994,310.1508691460576
-88.96989763493154,-69.93388758218605,-92.66364653966244,-99.92874765538204,43.860439564904,-43.860439564903984,310.329079817444
-89.88790532931573,-70.93299362599868,-91.80076943841831,-99.91060438126269,44.13753631409096,-44.137536314090944,310.529308506201
-90.79723997157227,-71.93189293172995,-90.93346422565418,-99.88993057312715,44.46935503737187,-44.46935503737187,310.75160476812164
-91.69848801524351,-72.9312696827861,-90.12480436712514,-99.93767510561486,234.58947331041855,165.41052668958145,310.9960422507835
-92.59137494427824,-73.93087355983978,-89.28869290347359,-99.9603877053689,45.38832662653415,-45.38832662653412,311.2627150887052
-93.47540356543155,-74.93020441892186,-88.40286211533038,-99.93308590820769,45.85986213563387,-45.85986213563387,311.5517525355605
